name,salary_from,salary_to,salary_currency,area_name,published_at
Старший системный администратор / Заместитель руководителя отдела,80000,,RUR,Санкт-Петербург,2022-12-19T11:27:21+0300
Аналитик-консультант 1С,80000,,RUR,Москва,2022-12-19T11:35:13+0300
Ведущий специалист отдела развития ИT инфраструктуры,66420,79700,RUR,Самара,2022-12-19T11:01:47+0300
Шлифовщик,55874,89398,RUR,Санкт-Петербург,2022-12-19T11:09:29+0300
Программист/Специалист по информационной безопасности,100000,,RUR,Москва,2022-12-19T11:54:22+0300
"Главный специалист (проектирование, организация строительства)",,3000,BYR,Минск,2022-12-19T11:22:39+0300
Ведущий специалист отдела развития ИT инфраструктуры,66420,79700,RUR,Краснодар,2022-12-19T11:01:47+0300
Менеджер по управлению товарной категорией,80000,,RUR,Тюмень,2022-12-19T11:30:26+0300
Business Analyst / Бизнес-аналитик,50000,90000,RUR,Самара,2022-12-19T11:40:14+0300
Оператор/наладчик станков с ЧПУ,80000,,RUR,Волжский (Волгоградская область),2022-12-19T11:41:38+0300
Специалист КИПиА,,45100,RUR,Сочи,2022-12-19T11:24:20+0300
Токарь (станочник широкого профиля),,62200,RUR,Нижневартовск,2022-12-19T11:11:26+0300
Сервисный инженер/Механик,45000,,RUR,Липецк,2022-12-19T11:09:15+0300
Ведущий специалист отдела развития ИT инфраструктуры,66420,79700,RUR,Симферополь,2022-12-19T11:01:47+0300
Специалист по сопровождению продаж видеонаблюдения,40000,,RUR,Ижевск,2022-12-19T11:32:17+0300
Программист 1С (переход на ERP),130000,160000,RUR,Краснодар,2022-12-19T11:07:28+0300
Токарь-фрезеровщик,,153000,RUR,Иркутск,2022-12-19T11:41:22+0300
Руководитель проектов 1С:ERP,120000,180000,RUR,Москва,2022-12-19T11:35:45+0300
Сервисный инженер / Мастер по ремонту бензотехники / Механик (Ильинское шоссе),40000,,RUR,Новокузнецк,2022-12-19T11:09:16+0300
Программист 1С в проектный департамент (без системы франчайзи),100000,200000,RUR,Москва,2022-12-19T11:35:35+0300
Программист 1С (Удаленно),150000,,RUR,Томск,2022-12-19T11:08:20+0300
Ведущий разработчик 1С,200000,260000,RUR,Москва,2022-12-19T11:30:16+0300
Программист 1С,150000,150000,RUR,Санкт-Петербург,2022-12-19T11:56:18+0300
Программист 1С:ERP;УХ;ДО со знанием Linux (без системы франчайзи),100000,200000,RUR,Москва,2022-12-19T11:35:30+0300
Ведущий программист 1C,120000,,RUR,Тула,2022-12-19T11:26:11+0300
Наладчик производственного оборудования (станки ЧПУ) (мебельное производство),55000,,RUR,Пенза,2022-12-19T11:08:51+0300
"Ведущий аналитик 1С: ERP, УТ",80000,200000,RUR,Москва,2022-12-19T11:35:22+0300
Аналитик-консультант 1С:ТОиР,80000,130000,RUR,Москва,2022-12-19T11:35:16+0300
IT директор,200000,300000,RUR,Москва,2022-12-19T12:54:35+0300
Инженер технической поддержки,80000,110000,RUR,Москва,2022-12-19T12:48:55+0300
Бизнес-аналитик,180000,,RUR,Москва,2022-12-19T12:15:02+0300
Координатор проектов,90000,130000,RUR,Москва,2022-12-19T12:18:37+0300
Дизайнер,50000,,RUR,Магнитогорск,2022-12-19T12:41:47+0300
Главный механик,100000,100000,RUR,Казань,2022-12-19T12:14:08+0300
Начальник отдела дистанционного обучения,75000,,RUR,Санкт-Петербург,2022-12-19T12:39:56+0300
Бизнес-аналитик BI,,130000,RUR,Москва,2022-12-19T12:04:44+0300
Разработчик 1С junior,60000,,RUR,Воронеж,2022-12-19T12:50:48+0300
Рабочий на производство металлических изделий,40000,,RUR,Екатеринбург,2022-12-19T12:31:26+0300
Системный администратор,130000,150000,RUR,Санкт-Петербург,2022-12-19T12:36:25+0300
Бизнес-аналитик,400000,,KZT,Астана,2022-12-19T12:14:40+0300
Специалист по технической поддержке,80000,80000,RUR,Москва,2022-12-19T12:07:38+0300
Графический дизайнер в Полиграфию,100000,150000,KZT,Астана,2022-12-19T12:11:41+0300
Бизнес-аналитик,75000,,RUR,Москва,2022-12-19T12:47:53+0300
Motion Designer / Моушн-дизайнер,90000,,RUR,Москва,2022-12-19T12:53:37+0300
Аналитик бизнес-процессов,300000,,KZT,Астана,2022-12-19T12:09:25+0300
Аналитик SQL (запуск промо),150000,,RUR,Москва,2022-12-19T12:56:59+0300
Инженер группы по ремонту и эксплуатации систем сигнализации контроля доступа и видеонаблюдения,60000,,RUR,Екатеринбург,2022-12-19T12:35:30+0300
Оператор плазменной резки,70000,70000,RUR,Сургут,2022-12-19T12:29:33+0300
Мастер по ремонту телефонов и планшетов,35000,60000,RUR,Екатеринбург,2022-12-19T12:18:28+0300
Младший специалист службы технической поддержки,40000,,RUR,Москва,2022-12-19T12:31:11+0300
Начальник отдела информационных технологий,50000,60000,RUR,Ростов-на-Дону,2022-12-19T12:23:04+0300
Оператор 1С,30000,,RUR,Ставрополь,2022-12-19T12:40:51+0300
Маркетолог-аналитик,60000,80000,RUR,Санкт-Петербург,2022-12-19T12:09:27+0300
Начальник отдела информационных технологий,,75000,RUR,Екатеринбург,2022-12-19T12:38:18+0300
Системный администратор,40000,,RUR,Санкт-Петербург,2022-12-19T12:36:00+0300
Менеджер по ценообразованию (аптеки),,100000,RUR,Москва,2022-12-19T12:52:17+0300
Ведущий специалист отдела информации и связи с общественностью,55000,,RUR,Москва,2022-12-19T12:02:49+0300
Специалист службы технической поддержки,70000,70000,RUR,Екатеринбург,2022-12-19T12:27:20+0300
Инженер по подбору оборудования,90000,120000,RUR,Москва,2022-12-19T12:38:12+0300
Специалист по сопровождению 1С,55000,70000,RUR,Екатеринбург,2022-12-19T12:41:30+0300
Инженер по слаботочным системам,70000,,RUR,Санкт-Петербург,2022-12-19T12:49:32+0300
"Senior .Net Fullstack Developer (релокация на Кипр, удалёнка вне РФ)",4000,6000,USD,Москва,2022-12-19T12:49:21+0300
"Токарь-универсал (16к20, 1к62, лобовые)",100000,110000,RUR,Иркутск,2022-12-19T12:29:02+0300
Программист 1й категории,40000,40000,RUR,Уфа,2022-12-19T12:59:45+0300
Оператор станков с программным управлением,33000,53000,RUR,Пущино,2022-12-19T12:22:38+0300
Разработчик 1С junior,60000,,RUR,Тула,2022-12-19T12:50:48+0300
PHP-разработчик (Junior),60000,,RUR,Москва,2022-12-19T12:40:16+0300
Механик асфальтобетонного завода (АБЗ),70000,,RUR,Псков,2022-12-19T12:42:11+0300
Начальник отдела телекоммуникаций,80000,,RUR,Тюмень,2022-12-19T12:06:23+0300
Разработчик 1С junior,60000,,RUR,Липецк,2022-12-19T12:50:48+0300
Backend разработчик PHP Senior (возможен удаленный формат),200000,,RUR,Москва,2022-12-19T12:32:16+0300
Специалист технической поддержки,30000,,RUR,Смоленск,2022-12-19T12:37:07+0300
Специалист службы технической поддержки,70000,70000,RUR,Верхняя Пышма,2022-12-19T12:27:16+0300
Механик по ремонту дорожно - строительной техники,80000,,RUR,Нижний Новгород,2022-12-19T12:51:37+0300
Оператор фрезерного станка с ЧПУ,90000,90000,RUR,Томск,2022-12-19T12:05:53+0300
Старший инженер в группу поддержки пользователей,40000,50000,RUR,Нижний Новгород,2022-12-19T12:55:17+0300
Токарь-универсал,50000,65000,RUR,Томск,2022-12-19T12:05:50+0300
"Монтажник связи СКС, ВОЛС",60000,80000,RUR,Наро-Фоминск,2022-12-19T12:01:17+0300
Механик,45000,,RUR,Магнитогорск,2022-12-19T12:53:15+0300
Руководитель сервисного центра,150000,200000,RUR,Краснознаменск (Московская область),2022-12-19T12:40:35+0300
Инженер по подбору оборудования,90000,120000,RUR,Видное,2022-12-19T12:38:06+0300
Ведущий системный администратор,120000,,RUR,Домодедово,2022-12-19T12:50:39+0300
Разработчик/Администратор SharePoint,150000,400000,KZT,Астана,2022-12-19T12:23:11+0300
Старший механик,60000,60000,RUR,Москва,2022-12-19T12:22:48+0300
Офис-менеджер/менеджер проектов,60000,,RUR,Омск,2022-12-19T12:23:53+0300
Сервисный инженер,95000,105000,RUR,Челябинск,2022-12-19T12:51:10+0300
"Программист 1С, Сопровождение",150000,,RUR,Москва,2022-12-19T12:21:40+0300
Инженер по ремонту стоматологического оборудования,80000,120000,RUR,Ростов-на-Дону,2022-12-19T12:38:35+0300
Фрезеровщик на мебельное производство,40000,85000,RUR,Ставрополь,2022-12-19T12:50:28+0300
Инженер-технолог,70000,,RUR,Смоленск,2022-12-19T12:36:30+0300
Менеджер проекта,55000,,RUR,Иваново (Ивановская область),2022-12-19T12:37:04+0300
Разработчик программного обеспечения,240000,,RUR,Москва,2022-12-19T12:58:10+0300
Ведущий системный администратор,80000,120000,RUR,Москва,2022-12-19T12:59:03+0300
Токарь-универсал,45000,,RUR,Новосибирск,2022-12-19T12:43:24+0300
Токарь,31500,,RUR,Уфа,2022-12-19T12:07:41+0300
Техник по эксплуатации (электрик),34000,40000,RUR,Томск,2022-12-19T12:10:22+0300
QA Automation engineer (Java),,280000,RUR,Москва,2022-12-19T12:39:08+0300
Ведущий инженер по установке и обслуживанию оборудования,42000,,RUR,Армавир,2022-12-19T12:23:05+0300
Программист 1С,80000,,RUR,Самара,2022-12-19T12:13:26+0300
Инженер технической поддержки (2 линия),120000,120000,RUR,Лобня,2022-12-19T12:07:32+0300
Контролер технического состояния автотранспортных средств,31000,35000,RUR,Белая Калитва,2022-12-19T12:36:44+0300
Программист 1C,,150500,RUR,Москва,2022-12-19T12:33:33+0300
Аналитик 1С,100000,,RUR,Тула,2022-12-19T12:54:04+0300
Шлифовщик-универсал,110000,130000,RUR,Ярославль,2022-12-19T12:36:21+0300
Ведущий программист 1С,180000,,RUR,Москва,2022-12-19T12:21:44+0300
Шлифовщик-универсал,110000,130000,RUR,Волгоград,2022-12-19T12:34:26+0300
Middle backend разработчик,120000,,RUR,Владивосток,2022-12-19T12:39:18+0300
Аналитик 1С,100000,,RUR,Липецк,2022-12-19T12:54:04+0300
Инженер-механик по грузоподъёмному оборудованию,70000,93000,RUR,Долгопрудный,2022-12-19T12:58:08+0300
Шлифовщик-универсал,110000,120000,RUR,Казань,2022-12-19T12:32:36+0300
"Сервисный специалист (водоснабжение, обслуживание частных домов)",60000,95000,RUR,Троицк (Московская область),2022-12-19T12:50:15+0300
Аналитик 1С,100000,,RUR,Воронеж,2022-12-19T12:54:04+0300
Оператор станков с программным управлением,33000,53000,RUR,Серпухов,2022-12-19T12:22:38+0300
Электромеханик,55000,,RUR,Ногинск,2022-12-19T12:19:26+0300
Начальник отдела продаж услуг связи В2О,90000,,RUR,Тюмень,2022-12-19T12:16:52+0300
Программист 1C,80000,110000,RUR,Симферополь,2022-12-19T12:49:59+0300
Разработчик 1С junior,60000,,RUR,Курск,2022-12-19T12:50:48+0300
Руководитель проектов,70000,,RUR,Екатеринбург,2022-12-19T12:51:10+0300
Главный инженер проекта (IT),100000,,RUR,Екатеринбург,2022-12-19T12:31:25+0300
Инженер по ремонту оргтехники,40000,60000,RUR,Новосибирск,2022-12-19T12:16:03+0300
Инженер-программист (технолог),60000,,RUR,Ижевск,2022-12-19T12:53:32+0300
Ведущий консультант-аналитик 1С,180000,,RUR,Нижний Новгород,2022-12-19T12:49:51+0300
Руководитель направления развития банковских систем,150000,200000,RUR,Владивосток,2022-12-19T12:22:09+0300
Механик по ремонту (грузовой автопарк),,85500,RUR,Батайск,2022-12-19T12:01:22+0300
Механик по выпуску автотранспорта,60000,60000,RUR,Домодедово,2022-12-19T12:50:35+0300
"Руководитель группы механиков, п. Мирный",,69000,RUR,Самара,2022-12-19T12:26:14+0300
Консультант-аналитик 1С,,150000,RUR,Москва,2022-12-19T12:14:46+0300
"Менеджер в отдел продаж программного обеспечения (удаленно, на горячие и теплые лиды)",15000,95000,RUR,Москва,2022-12-19T12:02:52+0300
Системный администратор,65000,,RUR,Санкт-Петербург,2022-12-19T12:59:21+0300
Оператор станков,52000,60000,RUR,Челябинск,2022-12-19T12:02:31+0300
Менеджер ПТО,50000,,RUR,Ульяновск,2022-12-19T12:55:36+0300
Технолог-Главный инженер,120000,,RUR,Москва,2022-12-19T12:22:34+0300
Сервисный инженер,95000,105000,RUR,Тюмень,2022-12-19T12:51:10+0300
Станочник широкого профиля,65000,75000,RUR,Санкт-Петербург,2022-12-19T12:11:50+0300
Сервисный инженер,95000,105000,RUR,Курган,2022-12-19T12:51:10+0300
Аналитик 1С,100000,,RUR,Курск,2022-12-19T12:54:04+0300
Инженер-электронщик,50000,,RUR,Пермь,2022-12-19T12:54:40+0300
Lead Game Designer,180000,,RUR,Санкт-Петербург,2022-12-19T12:31:13+0300
Руководитель направления сопровождения банковских систем,150000,200000,RUR,Владивосток,2022-12-19T12:35:55+0300
Мастер по ремонту автосервисного оборудования,50000,,RUR,Москва,2022-12-19T12:43:53+0300
"Электромеханик, наладчик оборудования",50000,75000,RUR,Жуковский,2022-12-19T12:05:17+0300
"Senior Ruby on Rails Developer (Germany, Schwäbisch Gmünd)",6200,,EUR,Москва,2022-12-19T12:38:46+0300
Фрезеровщик-универсал,100000,120000,RUR,Омск,2022-12-19T12:27:24+0300
Оператор станков с ЧПУ,73000,,RUR,Санкт-Петербург,2022-12-19T12:07:04+0300
Электромеханик,55000,,RUR,Коломна,2022-12-19T12:04:03+0300
Рабочий по комплексному обслуживанию зданий (Отделочник/хаус-мастер),36800,36800,RUR,Москва,2022-12-19T12:33:33+0300
Сервисный инженер,95000,105000,RUR,Карталы,2022-12-19T12:51:10+0300
"Токарь универсал 4 и 6 разряда АО ""Концерн ""Автоматика""",50000,,RUR,Москва,2022-12-19T12:56:53+0300
Ведущий инженер-механик,,70950,RUR,Санкт-Петербург,2022-12-19T12:08:18+0300
IT директор,115000,150000,RUR,Москва,2022-12-19T12:51:10+0300
Сервисный инженер,95000,105000,RUR,Магнитогорск,2022-12-19T12:51:10+0300
Системный аналитик,90000,,RUR,Екатеринбург,2022-12-19T12:03:31+0300
Механик,120000,,RUR,Уфа,2022-12-19T12:42:30+0300
Ведущий консультант-аналитик 1С,180000,,RUR,Казань,2022-12-19T12:49:51+0300
IT- Архитектор (backend),120000,,RUR,Екатеринбург,2022-12-19T12:04:00+0300
Программист 1С,130000,,RUR,Санкт-Петербург,2022-12-19T12:08:03+0300
Аналитик 1С,100000,,RUR,Тамбов,2022-12-19T12:54:04+0300
Менеджер по продукту (Климатическая техника),,200000,RUR,Москва,2022-12-19T12:41:27+0300
"Senior C++ Developer (Germany, Munich)",5400,6600,EUR,Москва,2022-12-19T12:27:54+0300
Электроник,25000,,RUR,Уфа,2022-12-19T12:59:28+0300
Инженер-электронщик,50000,,RUR,Краснокамск,2022-12-19T12:54:40+0300
Токарь,50000,,RUR,Мамадыш,2022-12-19T12:49:34+0300
Токарь,50000,,RUR,Грахово,2022-12-19T12:49:48+0300
Токарь,50000,,RUR,Елабуга,2022-12-19T12:49:21+0300
Senior Java Full-Stack Developer,170000,,KGS,Бишкек,2022-12-19T12:59:43+0300
Ведущий специалист отдела внедрения,100000,,RUR,Нижний Новгород,2022-12-19T12:02:42+0300
Программист 1С,200000,320000,RUR,Москва,2022-12-19T12:25:34+0300
Программист 1C,120000,,RUR,Санкт-Петербург,2022-12-19T12:58:04+0300
Токарь - станочник,,60000,RUR,Тверь,2022-12-19T12:40:07+0300
Старший специалист в Сектор расчета и планирования заказов,,57000,RUR,Краснодар,2022-12-19T12:16:45+0300
Ученик оператора на листогибочный пресс ЧПУ (Гибщик),25000,50000,RUR,Тверь,2022-12-19T12:03:38+0300
Разработчик 1С,100000,,RUR,Тула,2022-12-19T12:47:17+0300
Оператор-наладчик станков с ЧПУ,70000,90000,RUR,Томск,2022-12-19T12:05:57+0300
Токарь,,39000,RUR,Новосибирск,2022-12-19T12:25:26+0300
Механик,,51000,RUR,Пенза,2022-12-19T12:09:34+0300
Ведущий консультант-аналитик 1С,180000,,RUR,Екатеринбург,2022-12-19T12:49:51+0300
Старший аналитик 1С/Функциональный архитектор 1С,220000,300000,RUR,Москва,2022-12-19T12:06:33+0300
Ведущий консультант-аналитик 1С,180000,,RUR,Санкт-Петербург,2022-12-19T12:49:51+0300
Ведущий инженер-программист ПЛИС,120000,,RUR,Санкт-Петербург,2022-12-19T12:07:30+0300
Разработчик 1С junior,60000,,RUR,Тамбов,2022-12-19T12:50:48+0300
Разработчик 1С,100000,,RUR,Липецк,2022-12-19T12:47:17+0300
Маркетолог-аналитик,,70000,RUR,Воронеж,2022-12-19T12:20:46+0300
Программист 1C,100000,,RUR,Санкт-Петербург,2022-12-19T12:12:12+0300
Инженер-программист микроконтроллеров,52000,,RUR,Санкт-Петербург,2022-12-19T12:31:27+0300
Механик АБЗ,55000,60000,RUR,Уфа,2022-12-19T12:10:28+0300
Разработчик 1С,100000,,RUR,Воронеж,2022-12-19T12:47:17+0300
Программист ведущий (руководитель направления),52000,52000,RUR,Уфа,2022-12-19T12:59:39+0300
Мастер-универсал,50000,,RUR,Москва,2022-12-19T12:31:57+0300
Разработчик 1С,100000,,RUR,Тамбов,2022-12-19T12:47:17+0300
Разработчик 1С,100000,,RUR,Курск,2022-12-19T12:47:17+0300
Программист разработчик,25000,40000,RUR,Ижевск,2022-12-19T13:37:05+0300
Менеджер по управлению проектами/Project manager,100000,,RUR,Санкт-Петербург,2022-12-19T13:40:13+0300
Оператор лазерного станка,250000,,KZT,Астана,2022-12-19T13:18:31+0300
Дизайнер,40000,50000,RUR,Калининград,2022-12-19T13:55:38+0300
Программист,1000,,BYR,Гомель,2022-12-19T13:53:26+0300
Machine learning engineer/ разработчик машинного обучения (удаленно),200000,400000,RUR,Пермь,2022-12-19T13:22:24+0300
Специалст группы сопровождения (Junior).,50000,,RUR,Волгоград,2022-12-19T13:53:57+0300
Оператор майнинговая ферма,200000,,KZT,Актобе,2022-12-19T13:22:45+0300
Копирайтер в онлайн-школу (психология),50000,50000,RUR,Санкт-Петербург,2022-12-19T13:01:13+0300
Оператор складской,3000000,6000000,UZS,Ташкент,2022-12-19T13:47:28+0300
Сборщик электрических машин и аппаратов,50000,,RUR,Кимры,2022-12-19T13:53:05+0300
Копирайтер в онлайн-школу (психология),50000,50000,RUR,Москва,2022-12-19T13:01:13+0300
Копирайтер в онлайн-школу (психология),50000,50000,RUR,Казань,2022-12-19T13:01:13+0300
Копирайтер,25000,50000,RUR,Ульяновск,2022-12-19T13:29:00+0300
Оператор станков с ЧПУ (труборез),95000,120000,RUR,Москва,2022-12-19T13:25:39+0300
Креативный директор / продюсер,80000,120000,RUR,Москва,2022-12-19T13:47:55+0300
Начальник отдела информационных технологий,70000,100000,RUR,Минеральные Воды,2022-12-19T13:51:38+0300
Fullstack php разработчик (Laravel),120000,140000,RUR,Москва,2022-12-19T13:23:33+0300
Системный администратор,35000,40000,RUR,Саранск,2022-12-19T13:56:04+0300
Помощник системного администратора/IT специалист,3000000,4000000,UZS,Ташкент,2022-12-19T13:08:20+0300
Дизайнер-визуализатор интерьера,60000,70000,RUR,Сочи,2022-12-19T13:57:15+0300
Оператор станка с обучением,30000,60000,RUR,Нижний Новгород,2022-12-19T13:35:41+0300
Программист,15000,30000,RUR,Оренбург,2022-12-19T13:57:23+0300
Project Manager (менеджер проекта) в офис,50000,,RUR,Белгород,2022-12-19T13:20:38+0300
Руководитель проекта (онлайн обучение),150000,,RUR,Москва,2022-12-19T13:18:43+0300
Сценарист-редактор видеороликов,60000,65000,RUR,Казань,2022-12-19T13:49:57+0300
Дизайнер мебели,2500,,BYR,Минск,2022-12-19T13:20:23+0300
UX/UI Дизайнер (Middle+),180000,200000,RUR,Москва,2022-12-19T13:03:57+0300
Инженер по обслуживанию информационных систем и систем связи,,150000,RUR,Нефтеюганск,2022-12-19T13:03:48+0300
Аналитик данных (сектор товародвижения),,45000,RUR,Краснодар,2022-12-19T13:18:48+0300
Программист,150000,,RUR,Саратов,2022-12-19T13:02:01+0300
Компьютерный мастер / сервисный инженер / системный администратор,30000,35000,RUR,Ижевск,2022-12-19T13:37:36+0300
Менеджер проекта автоматизация бизнес-процессов HR,80000,120000,RUR,Нижний Новгород,2022-12-19T13:43:00+0300
React JS developer,130000,200000,RUR,Калининград,2022-12-19T13:01:42+0300
Электронщик/техник,80000,150000,RUR,Москва,2022-12-19T13:43:17+0300
Инженер-электронщик-программист,45000,45000,RUR,Краснодар,2022-12-19T13:28:02+0300
Специалист технической поддержки,55000,55000,RUR,Нижний Новгород,2022-12-19T13:17:05+0300
Fullstack php разработчик (Laravel),120000,140000,RUR,Тбилиси,2022-12-19T13:27:28+0300
Оператор ПК (Excel),40000,,RUR,Екатеринбург,2022-12-19T13:38:31+0300
Архитектор информационной безопасности,,400000,RUR,Москва,2022-12-19T13:53:43+0300
Оператор ЧПУ,92000,109000,RUR,Алексин,2022-12-19T13:05:54+0300
Программист ОВЕН,45000,45000,RUR,Краснодар,2022-12-19T13:34:47+0300
Программист SQL,30000,,KGS,Бишкек,2022-12-19T13:02:14+0300
Ведущий инженер ПД ИТР,100000,,RUR,Санкт-Петербург,2022-12-19T13:54:25+0300
Главный инженер-программист Департамента интегрированных решений,,800000,KZT,Астана,2022-12-19T13:14:47+0300
IOS разработчик,120000,180000,RUR,Калининград,2022-12-19T13:01:33+0300
Шеф-редактор,90000,90000,RUR,Москва,2022-12-19T13:35:36+0300
Механик (Контролер технического состояния транспортных средств на выпуске),50000,,RUR,Москва,2022-12-19T13:34:21+0300
Разработчик (Oracle),,210000,RUR,Москва,2022-12-19T13:41:35+0300
Бренд - менеджер,100000,,RUR,Москва,2022-12-19T13:56:51+0300
Разработчик iOS (Swift),,400000,RUR,Москва,2022-12-19T13:41:53+0300
Аналитик,50000,,RUR,Рязань,2022-12-19T13:39:02+0300
Разработчик C# / Delphi,70000,,RUR,Екатеринбург,2022-12-19T13:33:05+0300
Frontend Developer (JS),100000,150000,RUR,Екатеринбург,2022-12-19T13:10:14+0300
Оператор станков с ЧПУ,115000,,RUR,Уфа,2022-12-19T13:10:56+0300
"Сверловщик, Нижний Тагил",110000,,RUR,Екатеринбург,2022-12-19T13:22:41+0300
Оператор станков с ЧПУ,115000,,RUR,Рязань,2022-12-19T13:07:22+0300
Инженер электросвязи,47000,52650,RUR,Самара,2022-12-19T13:33:22+0300
Механизатор,130000,140000,RUR,Омск,2022-12-19T13:09:07+0300
Инженер технической поддержки Helpdesk,49000,49000,RUR,Нижний Новгород,2022-12-19T13:17:12+0300
Frontend VUE Senior,200000,300000,RUR,Санкт-Петербург,2022-12-19T13:26:59+0300
Токарь в г. Шумерля,110000,110000,RUR,Чебоксары,2022-12-19T13:39:05+0300
Слесарь-сборщик РЭА и приборов,35000,,RUR,Челябинск,2022-12-19T13:05:59+0300
Фрезеровщик-универсал,110000,140000,RUR,Владимир,2022-12-19T13:28:29+0300
Разработчик C#,,140000,RUR,Томск,2022-12-19T13:53:56+0300
"Сверловщик, Нижний Тагил",110000,,RUR,Челябинск,2022-12-19T13:22:41+0300
Менеджер службы сопровождения клиентов,35000,40000,RUR,Уфа,2022-12-19T13:22:46+0300
Backend-разработчик (бэкенд-разработчик),100000,,RUR,Челябинск,2022-12-19T13:04:58+0300
Системный администратор,45000,60000,RUR,Владимир,2022-12-19T13:27:27+0300
Токарь,111000,,RUR,Екатеринбург,2022-12-19T13:05:53+0300
Оператор станков с ЧПУ,115000,,RUR,Челябинск,2022-12-19T13:10:56+0300
DevSecOps инженер,,250000,RUR,Калуга,2022-12-19T13:20:25+0300
Консультант - аналитик 1С ЗУП,100000,200000,RUR,Санкт-Петербург,2022-12-19T13:52:23+0300
Системный программист,100000,,RUR,Воронеж,2022-12-19T13:36:27+0300
Оператор станков с ЧПУ,115000,,RUR,Барнаул,2022-12-19T13:10:56+0300
DevSecOps инженер,,250000,RUR,Архангельск,2022-12-19T13:19:50+0300
QA Lead (Mobile),230000,,RUR,Санкт-Петербург,2022-12-19T13:38:42+0300
Оператор станка с ЧПУ,150000,200000,KZT,Талгар,2022-12-19T13:59:15+0300
Оператор станков с ЧПУ,115000,,RUR,Пермь,2022-12-19T13:10:56+0300
Аналитик 1С,160000,,RUR,Москва,2022-12-19T13:31:58+0300
Руководитель отдела контента,45000,55000,RUR,Углич,2022-12-19T13:01:14+0300
Заместитель начальника турбинного цеха по ремонту,87000,108000,RUR,Омск,2022-12-19T13:15:52+0300
Оператор линии поверхностного монтажа ПП,60000,70000,RUR,Санкт-Петербург,2022-12-19T13:07:13+0300
Оператор станков с ПУ,70000,90000,RUR,Гусь-Хрустальный,2022-12-19T13:29:02+0300
"Программист-инженер систем Crestron, RTI, KNX (Умный дом)",70000,150000,RUR,Санкт-Петербург,2022-12-19T13:16:53+0300
Шеф-редактор,90000,90000,RUR,Балашиха,2022-12-19T13:35:36+0300
Механик по ремонту (автотранспорт),130000,140000,RUR,Омск,2022-12-19T13:09:06+0300
Токарь-универсал,65000,,RUR,Саратов,2022-12-19T13:01:53+0300
Тренер механиков,,120000,RUR,Москва,2022-12-19T13:31:14+0300
Программист 1С,2000,,BYR,Витебск,2022-12-19T13:39:36+0300
DevSecOps инженер,,250000,RUR,Красноярск,2022-12-19T13:14:52+0300
"Сверловщик, Нижний Тагил",110000,,RUR,Пермь,2022-12-19T13:22:41+0300
Механик по ремонту (автотранспорт),130000,140000,RUR,Краснодар,2022-12-19T13:09:05+0300
Токарь 5 разряд,110000,110000,RUR,Курган,2022-12-19T13:41:59+0300
Фрезеровщик,30000,,RUR,Саранск,2022-12-19T13:11:43+0300
Системный администратор Linux,44000,75000,RUR,Кострома,2022-12-19T13:45:43+0300
Консультант техподдержки 1С (бухгалтерия),35000,60000,RUR,Самара,2022-12-19T13:47:13+0300
Специалист технической поддержки,21150,28000,RUR,Воронеж,2022-12-19T13:00:48+0300
"Сверловщик, Нижний Тагил",110000,,RUR,Нижний Тагил,2022-12-19T13:22:41+0300
Наладчик производственного оборудования,50000,75000,RUR,Щелково,2022-12-19T13:32:50+0300
Токарь в г. Шумерля,110000,110000,RUR,Ульяновск,2022-12-19T13:39:05+0300
DevSecOps инженер,,250000,RUR,Калининград,2022-12-19T13:21:04+0300
"Сверловщик, Нижний Тагил",110000,,RUR,Уфа,2022-12-19T13:22:41+0300
"Фрезеровщик, Оборонная промышленность",110000,,RUR,Ижевск,2022-12-19T13:51:00+0300
Инженер по ремонту,,52000,RUR,Зональное,2022-12-19T13:20:03+0300
DevSecOps инженер,,250000,RUR,Нижний Новгород,2022-12-19T13:21:43+0300
Монтажник РЭА (пайка плат),35000,,RUR,Челябинск,2022-12-19T13:04:41+0300
Специалист в отдел внедрения 1С,,300000,KZT,Алматы,2022-12-19T13:36:28+0300
Менеджер проектов (системы безопасности),40000,55000,RUR,Самара,2022-12-19T13:01:22+0300
Токарь в г. Шумерля,110000,110000,RUR,Сергач,2022-12-19T13:39:05+0300
Монтажник слаботочных систем,60000,130000,RUR,Санкт-Петербург,2022-12-19T13:19:45+0300
Токарь в г. Арзамас,112000,,RUR,Иваново (Ивановская область),2022-12-19T13:40:19+0300
Оператор линии поверхностного монтажа,45000,,RUR,Челябинск,2022-12-19T13:05:46+0300
Оператор станков с ЧПУ,115000,,RUR,Саранск,2022-12-19T13:07:22+0300
Инженер по ремонту,,52000,RUR,Бийск,2022-12-19T13:19:55+0300
Графический дизайнер-дизайнер упаковки,50000,50000,RUR,Серпухов,2022-12-19T13:09:31+0300
Механик по ремонту тяжелой техники,110000,120000,RUR,Тюмень,2022-12-19T13:28:02+0300
Механик по транспорту,60000,,RUR,Судогда,2022-12-19T13:28:38+0300
Специалист технической поддержки (удаленно),31000,,RUR,Дзержинск (Нижегородская область),2022-12-19T13:10:10+0300
Инженер по гарантии,50000,,RUR,Нижний Новгород,2022-12-19T13:33:33+0300
Фрезеровщик в г. Арзамас,112000,,RUR,Иваново (Ивановская область),2022-12-19T13:40:19+0300
