name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь-фрезеровщик,39000,39000,RUR,Бердск,2022-12-19T06:49:08+0300
Инженер (отдел главного механика),20000,25000,RUR,Кумертау,2022-12-19T06:05:05+0300
Токарь 5 разряда,44000,,RUR,Искитим,2022-12-19T06:06:19+0300
Механик по оборудованию,50000,50000,RUR,Бердск,2022-12-19T06:49:54+0300
Инженер-программист (1С),70000,90000,RUR,Челябинск,2022-12-19T06:41:44+0300
Техник связи,45000,60000,RUR,Новокузнецк,2022-12-19T06:24:47+0300
Инженер-программист АСУ ТП,54000,,RUR,Челябинск,2022-12-19T06:03:34+0300
Слесарь-ремонтник по ГПМ,42300,42300,RUR,Челябинск,2022-12-19T06:21:49+0300
Монтажник связи,40000,,RUR,Иркутск,2022-12-19T06:24:00+0300
Специалист по ценообразованию,50000,,RUR,Екатеринбург,2022-12-19T06:48:51+0300
Техник связи,45000,60000,RUR,Прокопьевск,2022-12-19T06:24:12+0300
Frontend-разработчик (React),200000,350000,KZT,Алматы,2022-12-19T07:12:58+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,45000,,RUR,Екатеринбург,2022-12-19T07:43:55+0300
Web-программист Junior,50000,,RUR,Новосибирск,2022-12-19T07:06:10+0300
Дизайнер,45000,,RUR,Новосибирск,2022-12-19T07:41:01+0300
Графический дизайнер,200000,450000,KZT,Алматы,2022-12-19T07:01:16+0300
Дизайнер интерьеров,250000,500000,KZT,Алматы,2022-12-19T07:16:27+0300
Инженер ИБ,150000,300000,KZT,Алматы,2022-12-19T07:33:24+0300
Помощник программиста,40000,55000,RUR,Иркутск,2022-12-19T07:49:27+0300
Аналитик службы экономической безопасности,38000,47000,RUR,Омск,2022-12-19T07:04:08+0300
Программист-стажер 1C,15000,30000,RUR,Красноярск,2022-12-19T07:13:57+0300
Системный администратор,150000,,KZT,Астана,2022-12-19T07:04:52+0300
Программист,50000,65000,RUR,Иркутск,2022-12-19T07:43:31+0300
Арт-директор в IT-компанию (удаленная работа),80000,100000,RUR,Казань,2022-12-19T07:54:55+0300
Аналитик,35000,,RUR,Екатеринбург,2022-12-19T07:42:26+0300
Токарь-универсал,65000,,RUR,Пенза,2022-12-19T07:43:23+0300
Оператор станков с ПУ,50000,,RUR,Екатеринбург,2022-12-19T07:38:53+0300
Программист С++ / Qt (проект Энергосфера),150000,,RUR,Екатеринбург,2022-12-19T07:55:29+0300
PHP Developer,60000,,RUR,Новосибирск,2022-12-19T07:41:12+0300
Механик РММ,125000,187500,RUR,Тюмень,2022-12-19T07:15:24+0300
Head of Design в IT-компанию (удаленная работа),80000,100000,RUR,Москва,2022-12-19T07:51:56+0300
Журналист,35000,35000,RUR,Казань,2022-12-19T07:41:51+0300
Менеджер по проектам,400000,450000,KZT,Алматы,2022-12-19T07:57:36+0300
Специалист технической поддержки,35000,45000,RUR,Владивосток,2022-12-19T07:24:49+0300
Арт-директор в IT-компанию (удаленная работа),80000,100000,RUR,Алматы,2022-12-19T07:54:55+0300
Инженер по сервисному обслуживанию банковского оборудования,50000,,RUR,Лесной,2022-12-19T07:44:01+0300
Фрезеровщик,35000,,RUR,Саратов,2022-12-19T07:51:28+0300
Механик,40000,,RUR,Березовский (Свердловская область),2022-12-19T07:25:07+0300
Системный администратор,20000,25000,RUR,Курган,2022-12-19T07:15:29+0300
"Помощник IT-менеджера по тендерам (компьютерная техника, район Планеты)",50000,70000,RUR,Красноярск,2022-12-19T07:09:55+0300
Оператор управления сетями,130000,,KZT,Алматы,2022-12-19T07:00:16+0300
Оператор станков с ЧПУ,45000,,RUR,Торжок,2022-12-19T07:23:05+0300
Программист 1С,90000,,RUR,Красноярск,2022-12-19T07:17:51+0300
Go Developer (Remote),,315000,RUR,Москва,2022-12-19T07:58:16+0300
Механик,70000,,RUR,Междуреченск,2022-12-19T07:40:25+0300
Frontend Developer/Vue.js (Middle),130000,,RUR,Ташкент,2022-12-19T07:39:04+0300
Программист 1С (гибридный график работы),130000,169000,RUR,Екатеринбург,2022-12-19T07:02:46+0300
Системный администратор,50000,,RUR,Сызрань,2022-12-19T07:40:16+0300
Фрезеровщик,60000,,RUR,Улан-Удэ,2022-12-19T07:18:50+0300
Стажер - системный аналитик (IoT),,20000,RUR,Томск,2022-12-19T07:06:09+0300
Инженер-механик,40000,,RUR,Барнаул,2022-12-19T07:20:42+0300
Дизайнер в рекламно-производственную компанию,30000,50000,RUR,Ижевск,2022-12-19T07:53:50+0300
Токарь-универсал,60000,80000,RUR,Пермь,2022-12-19T07:29:49+0300
Токарь,45000,,RUR,Улан-Удэ,2022-12-19T07:18:54+0300
Электромеханик по лифтам,40000,70000,RUR,Красноярск,2022-12-19T07:34:13+0300
"Технический менеджер проектов (PM, Релиз-менеджер, Middle/Senior)",,130000,RUR,Ташкент,2022-12-19T07:40:05+0300
Head of Design в IT-компанию (удаленная работа),80000,100000,RUR,Санкт-Петербург,2022-12-19T07:51:56+0300
Арт-директор в IT-компанию (удаленная работа),80000,100000,RUR,Екатеринбург,2022-12-19T07:54:55+0300
Арт-директор в IT-компанию,80000,100000,RUR,Минск,2022-12-19T07:54:55+0300
Руководитель проектной группы КМД,90000,110000,RUR,Иркутск,2022-12-19T07:35:51+0300
Наладчик оборудования (опыт работы не обязателен),40000,,RUR,Екатеринбург,2022-12-19T07:42:47+0300
Оператор-наладчик токарного станка с ЧПУ,60000,70000,RUR,Пермь,2022-12-19T07:29:52+0300
Инженер по разработке электросхем,60000,,RUR,Прокопьевск,2022-12-19T07:41:12+0300
Оператор станков с ЧПУ (бесцентровая токарная обработка прутков),35000,,RUR,Ижевск,2022-12-19T07:20:35+0300
Аналитик отдела ценообразования,40000,,RUR,Челябинск,2022-12-19T07:06:42+0300
Web-программист (PHP),100000,,RUR,Новосибирск,2022-12-19T07:09:59+0300
Ведущий программист 1C,180000,,RUR,Санкт-Петербург,2022-12-19T07:15:02+0300
Ведущий программист 1С,180000,,RUR,Хабаровск,2022-12-19T07:27:10+0300
Токарь-фрезеровщик,37000,,RUR,Барнаул,2022-12-19T07:20:25+0300
Специалист по разработке технической документации для проектов внедрения ИС на базе 1С,100000,150000,RUR,Новокузнецк,2022-12-19T07:44:05+0300
Механизатор/грейдерист,40000,,RUR,Барнаул,2022-12-19T07:20:42+0300
Механик (дорожное строительство),40000,,RUR,Самара,2022-12-19T07:41:16+0300
"Программист 1С (7 и 8 версии, район ТРЦ Планета)",,130000,RUR,Красноярск,2022-12-19T07:09:55+0300
Инженер по гарантии,45000,50000,RUR,Тюмень,2022-12-19T07:31:04+0300
Специалист-консультант по внедрению ИС на базе 1С (Производственная безопасность),40000,,RUR,Новокузнецк,2022-12-19T07:44:28+0300
Арт-директор в IT-компанию (удаленная работа),80000,100000,RUR,Краснодар,2022-12-19T07:54:55+0300
Инженер-электронщик,80000,,RUR,Прокопьевск,2022-12-19T07:41:13+0300
Менеджер по ценообразованию и маркетингу,200000,260000,KZT,Караганда,2022-12-19T07:46:46+0300
Инженер-наладчик,80000,,RUR,Прокопьевск,2022-12-19T07:41:13+0300
"Электромонтажник систем безопасности, ОПС, Видео, СКУД, СКС",170000,200000,KZT,Караганда,2022-12-19T07:29:03+0300
Фрезеровщик,40000,,RUR,Уфа,2022-12-19T07:20:56+0300
Токарь,45000,,RUR,Екатеринбург,2022-12-19T07:02:46+0300
